Uso,Palabra en inglés,Traducción al español
218,full,lleno/a
219,enough,suficiente
220,woman,mujer
221,father,padre
222,soon,pronto
223,words,palabras
224,gave,dio
225,end,fin
226,almost,casi
227,cannot,no puede/no puedo
228,small,pequeño/a
229,door,puerta
230,room,habitación
231,water,agua
232,want,querer
233,however,sin embargo
234,brought,trajo
235,given,dado/a
236,word,palabra
237,whose,cuyo/a
238,use,uso
239,nor,ni
240,quite,bastante
241,light,luz
242,best,mejor
243,does,hace/hace
244,morning,mañana
245,till,hasta
246,myself,mí mismo/a
247,since,desde
248,present,presente
249,turned,giró/volteó
250,used,utilizado/a
251,themselves,ellos/as mismos/as
252,rather,más bien
253,until,hasta que
254,power,poder
255,others,otros/as
256,felt,sintió
257,thou,tú
258,money,dinero
259,mother,madre
260,began,comenzó/empezó
261,less,menos
262,war,guerra
263,next,próximo/a
264,den,madriguera
265,within,dentro de
266,form,forma
267,large,grande
268,poor,pobre
269,certain,cierto/a
270,death,muerte
271,year,año
272,together,juntos/as
273,matter,importar
274,kind,tipo
275,stood,estuvo de pie
276,order,orden
277,often,a menudo
278,sent,enviado/a
279,half,mitad
280,herself,ella misma
281,friend,amigo/a
282,wife,esposa
283,anything,cualquier cosa
284,keep,mantener
285,TRUE,verdadero/a
286,means,medio
287,hundred,cien
288,round,redondo/a
289,point,punto
290,state,estado
291,thy,tu
292,received,recibido/a
293,white,blanco/a
294,believe,creer
295,passed,pasado
296,person,persona
297,read,leer
298,feet,pies
299,case,caso
300,pour,verter
301,city,ciudad
302,thus,así
303,children,niños
304,alone,solo/a
305,above,encima
306,fact,hecho
307,high,alto/a
308,already,ya
309,dear,querido/a
310,known,conocido/a
311,met,conocido
312,English,inglés
313,says,dice
314,gone,ido/a
315,times,veces
316,girl,chica
317,least,menos
318,perhaps,quizás
319,land,tierra
320,hope,esperanza
321,nature,naturaleza
322,return,volver
323,letter,carta
324,open,abrir
325,along,a lo largo de
326,air,aire
327,sure,seguro/a
328,indeed,de hecho
329,number,número
330,leave,dejar
331,four,cuatro
332,body,cuerpo
333,women,mujeres
334,either,cualquiera
335,thee,tú
336,free,libre
337,help,ayuda
338,wish,desear
339,business,negocio
340,during,durante
341,general,general
342,several,varios/as
343,therefore,por lo tanto
344,hour,hora
345,lay,poner
346,held,sostuvo
347,friends,amigos/as
348,second,segundo/a
349,fire,fuego
350,speak,hablar
351,whether,ya sea que
352,reason,razón
353,thousand,mil
354,manner,manera
355,cried,lloró
356,king,rey
357,forth,adelante
358,become,convertirse en
359,England,Inglaterra
360,question,pregunta
361,call,llamar
362,terms,términos
363,became,se convirtió en
364,replied,respondió
365,lost,perdido/a
366,why,por qué
367,behind,detrás
368,family,familia
369,dead,muerto/a
370,possible,posible
371,following,siguiente
372,law,ley
373,feel,sentir
374,electronic,electrónico
375,cause,causa
376,boy,niño
377,care,cuidado
378,different,diferente
379,plus,además
380,looking,mirando
381,ground,suelo
382,rest,descanso
383,making,haciendo
384,soul,alma
385,really,realmente
386,town,ciudad
387,mean,significar
388,human,humano/a
389,truth,verdad
390,short,corto/a
391,kept,mantenido/a
392,subject,sujeto
393,french,francés
394,five,cinco
395,est,est
396,need,necesitar
397,evening,tarde
398,able,capaz
399,strong,fuerte
400,earth,tierra
401,live,vivir
402,sea,mar
403,doubt,duda
404,answer,responder
405,lady,dama
406,understand,entender
407,around,alrededor
408,seems,parece
409,ten,diez
410,hard,difícil
411,sort,tipo
412,ask,preguntar
413,sense,sentido
414,beautiful,hermoso/a
415,fear,temor
416,character,carácter
417,turn,girar
418,party,fiesta
419,followed,seguido/a
420,force,fuerza
421,bring,traer
422,close,cerrar
423,fine,bien
424,black,negro/a
425,hold,sostener
426,dark,oscuro/a
427,written,escrito/a
428,age,edad
429,spirit,espíritu
430,interest,interés
431,show,mostrar
432,sight,vista
433,necessary,necesario/a
434,account,cuenta
435,book,libro
436,ready,listo/a
437,common,común
438,bed,cama
439,talk,hablar
440,story,historia
441,table,mesa
442,idea,idea
443,ought,debería
444,line,línea
445,early,temprano/a
446,longer,más largo/a
447,can't,no puede
448,France,Francia
449,paid,pagado/a
450,else,más
451,river,río
452,sometimes,a veces
453,brother,hermano
454,across,a través de
455,miles,millas
456,van,furgoneta
457,later,más tarde
458,copy,copiar
459,art,arte
460,saying,dicho
461,mark,marcar
462,change,cambiar
463,feeling,sentir
464,everything,todo
465,purpose,propósito
466,eye,ojo
467,position,posición
468,six,seis
469,ye,sí
470,further,más lejos
471,copyright,derechos de autor
472,past,pasado/a
473,meet,conocer
474,deep,profundo/a
475,happy,feliz
476,seem,parecer
477,act,actuar
478,suddenly,de repente
479,stand,estar de pie
480,taking,tomando
481,strange,extraño/a
482,rose,rosa
483,view,vista
484,late,tarde
485,nearly,casi
486,neither,ni
487,beyond,más allá
488,blood,sangre
489,real,real
490,cold,frío/a
491,service,servicio
492,suppose,suponer
493,none,ninguno/a
494,road,camino
495,forward,adelante
496,army,ejército
497,sound,sonido
498,agreement,acuerdo
499,clear,claro/a
500,sn,resfriado
501,effect,efecto
502,sun,sol
503,pretty,bonita
504,daughter,hija
505,knowledge,conocimiento
506,husband,esposo
507,mine,mío/mía
508,toward,hacia
509,peace,paz
510,bad,malo/a
511,natural,natural
512,London,Londres
513,cut,cortar
514,living,viviendo
515,nous,intelecto
516,remember,recordar
517,except,excepto
518,below,debajo
519,sie,asedio
520,didn't,no hizo
521,office,oficina
522,low,bajo/a
523,fair,justo/a
524,American,estadounidense
525,fall,caída
526,laid,puesto/a
527,history,historia
528,pay,pagar
529,doing,haciendo
530,pass,pasar
531,note,nota
532,hair,cabello
533,dr,doctor
534,led,llevado/a
535,charge,cargo
536,makes,hace
537,run,correr
538,front,frente
539,government,gobierno
540,horse,caballo
541,although,aunque
542,receive,recibir
543,attention,atención
544,desire,deseo
545,play,jugar
546,opinion,opinión
547,red,rojo/a
548,gold,oro
549,important,importante
550,master,maestro
551,paper,papel
552,church,iglesia
553,company,compañía
554,certainly,ciertamente
555,tried,intentado/a
556,silence,silencio
557,placed,colocado/a
558,probably,probablemente
559,ago,hace
560,wind,viento
561,te,té
562,especially,especialmente
563,greater,mayor
564,distance,distancia
565,length,longitud
566,strength,fuerza
567,arm,brazo
568,duty,deber
569,persons,personas
570,send,enviar
571,glad,contento/a
572,beauty,belleza
573,big,grande
574,tout,alardear
575,fellow,compañero
576,latter,último/a
577,information,información
578,bear,soportar
579,window,ventana
580,foot,pie
581,trouble,problema
582,gentleman,caballero
583,lips,labios
584,wrote,escribió
585,various,varios/as
586,object,objeto
587,hath,tiene
588,particular,particular
589,minutes,minutos
590,wild,salvaje
591,ran,corrió
592,faith,fe
593,save,salvar
594,smile,sonrisa
595,visit,visitar
596,wrong,equivocado/a
597,chief,jefe
598,hardly,apenas
599,beginning,comienzo
600,enemy,enemigo/a
601,deal,trato
602,sleep,dormir
603,march,marcha
604,chance,oportunidad
605,immediately,inmediatamente
606,presence,presencia
607,action,acción
608,according,según
609,loved,amado/a
610,follow,seguir
611,thinking,pensando
612,plain,llanura
613,walked,caminó
614,condition,condición
615,drew,dibujó
616,standing,de pie
617,per,por
618,knows,sabe
619,rich,rico/a
620,unless,a menos que
621,heavy,pesado/a
622,single,soltero/a
623,try,intentar
624,secret,secreto
625,write,escribir
626,impossible,imposible
627,sweet,dulce
628,influence,influencia
629,outside,fuera
630,carry,llevar
631,mouth,boca
632,occasion,ocasión
633,ship,barco
634,unto,a
635,appear,aparecer
636,dinner,cena
637,joy,alegría
638,broken,roto/a
639,places,lugares
640,property,propiedad
641,regard,considerar
642,afraid,asustado/a
643,hat,sombrero
644,seeing,ver
645,figure,figura
646,please,por favor
647,won't,no lo hará
648,former,antiguo/a
649,period,período
650,whatever,lo que sea
651,appearance,apariencia
652,system,sistema
653,instead,en lugar de
654,simple,simple
655,battle,batalla
656,afterwards,después
657,merely,simplemente
658,struck,golpeado/a
659,reach,alcanzar
660,learned,aprendido/a
661,mere,simple
662,twenty,veinte
663,tears,lágrimas
664,easily,fácilmente
665,stay,quedarse
666,married,casado/a
667,expression,expresión
668,exclaimed,exclamado/a
669,born,nacido/a
670,respect,respeto
671,giving,dando
672,court,corte
673,man's,del hombre
674,week,semana
675,school,escuela
676,youth,juventud
677,permission,permiso
678,caught,atrapado/a
679,writing,escritura
680,language,idioma
681,sister,hermana
682,agree,estar de acuerdo
683,slowly,lentamente
684,generally,generalmente
685,usual,habitual
686,noble,noble
687,command,comando
688,food,comida
689,getting,obteniendo
690,worth,valor
691,quiet,tranquilo/a
692,remain,permanecer
693,date,fecha
694,support,apoyo
695,fit,en forma
696,ancient,antiguo/a
697,green,verde
698,duke,duque
699,walk,caminar
700,result,resultado
701,evil,mal
702,month,mes
703,society,sociedad
704,showed,mostró
705,third,tercero/a
706,notice,aviso
707,grew,creció
708,expected,esperado/a
709,wonder,preguntarse
710,laughed,rió
711,entirely,completamente
712,goes,va
713,bound,atado/a
714,due,debido/a
715,village,pueblo
716,fight,luchar
717,fresh,fresco/a
718,perfect,perfecto/a
719,German,alemán
720,Christian,cristiano/a
721,direction,dirección
722,cost,costo
723,reading,lectura
724,tone,tono
725,main,principal
726,tree,árbol
727,conversation,conversación
728,considerable,considerable
729,street,calle
730,silent,silencioso/a
731,British,británico/a
732,success,éxito
733,beside,junto a
734,meant,significó
735,trademark,marca registrada
736,chair,silla
737,somewhat,algo
738,wall,pared
739,considered,considerado/a
740,provide,proporcionar
741,stone,piedra
742,individual,individual
743,greatest,más grande
744,wished,deseado/a
745,lines,líneas
746,boat,barco
747,proper,adecuado/a
748,heaven,cielo
749,bright,brillante
750,opportunity,oportunidad
751,sudden,repentino/a
752,field,campo
753,waiting,esperando
754,private,privado/a
755,afternoon,tarde
756,scarcely,apenas
757,quickly,rápidamente
758,formed,formado/a
759,trying,intentando
760,etc,etcétera
761,blockquote,cita
762,political,político/a
763,race,carrera
764,scene,escena
765,seven,siete
766,wait,esperar
767,speaking,hablando
768,music,música
769,sit,sentarse
770,religion,religión
771,news,noticias
772,authority,autoridad
773,begin,comenzar
774,marriage,matrimonio
775,speech,discurso
776,that's,eso es
777,broke,rompió
778,difficult,difícil
779,honour,honor
780,effort,esfuerzo
781,top,superior
782,original,original
783,access,acceso
784,step,paso
785,cry,llorar
786,domain,dominio
787,fast,rápido/a
788,medium,medio/a
789,justice,justicia
790,troops,tropas
791,lie,mentir
792,personal,personal
793,summer,verano
794,garden,jardín
795,author,autor/a
796,sitting,sentado/a
797,paragraph,párrafo
798,passage,pasaje
799,Rome,Roma
800,ways,formas
801,terrible,terrible
802,fortune,fortuna
803,happiness,felicidad
804,vain,vano/a
805,ill,enfermo/a
806,picture,imagen
807,Indian,indio/a
808,study,estudio
809,pain,dolor
810,possession,posesión
811,supposed,supuesto/a
812,grand,grandioso/a
813,bit,poco
814,situation,situación
815,nation,nación
816,attempt,intento
817,takes,toma
818,century,siglo
819,cast,elenco
820,floor,piso
821,prepared,preparado/a
822,eight,ocho
823,sans,sin
824,eat,comer
825,determined,determinado/a
826,grave,tumba
827,hot,caliente
828,produce,producir
829,killed,mató
830,island,isla
831,al,todo
832,associated,asociado/a
833,sin,pecado
834,drawn,dibujado/a
835,camp,campamento
836,watch,mirar
837,escape,escapar
838,likely,probable
839,leaves,hojas
840,wood,madera
841,instant,instante
842,refund,reembolso
843,fifty,cincuenta
844,ourselves,nosotros mismos
845,spring,primavera
846,fee,tarifa
847,plan,plan
848,ladies,damas
849,modern,moderno/a
850,existence,existencia
851,simply,simplemente
852,hart,ciervo
853,memory,memoria
854,meeting,reunión
855,pleasant,agradable
856,perfectly,perfectamente
857,laugh,reír
858,surprise,sorpresa
859,corner,esquina
860,roman,romano/a
861,soft,suave
862,dress,vestido
863,turning,giro
864,military,militar
865,forget,olvidar
866,trust,confiar
867,fixed,fijo/a
868,beneath,debajo de
869,allow,permitir
870,religious,religioso/a
871,equal,igual
872,passion,pasión
873,reply,responder
874,shore,orilla
875,conduct,conducta
876,break,romper
877,spent,gastado/a
878,wise,sabio/a
879,rise,subir
880,sake,bien
881,degree,grado
882,spot,lugar
883,winter,invierno
884,breath,aliento
885,built,construido
886,touch,tocar
887,minute,minuto
888,courage,coraje
889,looks,miradas
890,board,tablero
891,official,oficial
892,rate,tasa
893,middle,medio
894,sky,cielo
895,promise,promesa
896,physical,físico
897,complete,completo
898,distribute,distribuir
899,instance,instancia
900,provided,proporcionado
901,pale,pálido
902,higher,más alto
903,loss,pérdida
904,offer,oferta
905,move,mover
906,train,tren
907,shot,disparo
908,stop,parar
909,class,clase
910,lead,llevar
911,father,padre
912,running,corriendo
913,spoken,hablado
914,moral,moral
915,glass,vaso
916,I'd,yo habría
917,directly,directamente
918,example,ejemplo
919,worse,peor
920,sufficient,suficiente
921,obliged,obligado
922,o',de
923,warm,cálido
924,spite,a pesar de
925,start,comenzar
926,v.,verbo
927,car,coche
928,social,social
929,safe,seguro
930,wouldn't,no lo haría
931,ones,unos/as
932,del,del
933,serious,serio/a
934,doctor,doctor/a
935,shown,mostrado/a
936,non,no
937,forms,formas
938,lower,más bajo
939,request,solicitud
940,attack,ataque
941,servant,sirviente
942,Greek,griego/a
943,dog,perro
944,lot,lote
945,trade,comercio
946,path,camino
947,drink,beber
948,proved,demostrado/a
949,silver,plata
950,special,especial
951,pride,orgullo
952,meaning,significado
953,smiled,sonreído/a
954,wonderful,maravilloso/a
955,health,salud
956,rule,regla
957,share,compartir
958,twelve,doce
959,ear,oído
960,movement,movimiento
961,expect,esperar
962,enter,entrar
963,north,norte
964,engaged,comprometido/a
965,legal,legal
966,advantage,ventaja
967,darkness,oscuridad
968,spread,difundir
969,marked,marcado/a
970,taste,sabor
971,foreign,extranjero/a
972,vast,vasto/a
973,officer,oficial
974,importance,importancia
975,seat,asiento
976,ordinary,ordinario
977,excellent,excelente
978,bill,factura
979,sorry,lo siento
980,native,nativo
981,method,método
982,rock,roca
983,confidence,confianza
984,consider,considerar
985,tax,impuesto
986,dream,sueño
987,Peter,Peter
988,mighty,poderoso
989,extent,extensión
990,grace,gracia
991,heads,cabezas
992,concerning,concerniente
993,liberty,libertad
994,game,juego
995,wine,vino
996,opposite,contrario
997,sword,espada
998,distribution,distribución
999,judge,juez
1000,glance,vistazo
