Número,Ingles,Español
275,end,fin
276,energy,energía
277,enjoy,disfrutar
278,enough,suficiente
279,enter,entrar
280,environment,ambiente
281,especially,especialmente
282,establish,establecer
283,estimate,estimado
284,even,incluso
285,evening,noche
286,event,evento
287,ever,siempre
288,every,cada
289,everybody,todos
290,everyone,todo el mundo
291,everything,todo
292,evidence,evidencia
293,exactly,exactamente
294,example,ejemplo
295,except,excepto
296,exercise,ejercicio
297,exist,existe
298,expect,esperar
299,experience,experiencia
300,explain,explique
301,express,expresar
302,extend,ampliar
303,eye,ojo
304,face,cara
305,facility,instalaciones
306,fact,hecho
307,factor,factor
308,fail,fallar
309,fall,otoño
310,family,familia
311,far,lejos
312,fast,rápido
313,father,padre
314,favorite,favorito
315,fear,temor
316,feature,característica
317,feel,sensación
318,female,hembra
319,few,pocos
320,field,campo
321,fight,lucha
322,figure,figura
323,file,expediente
324,fill,llenar
325,film,película
326,final,final
327,finally,finalmente
328,financial,financiero
329,find,encontrar
330,fine,multa
331,finish,terminar
332,fire,fuego
333,firm,"sólido, firme"
334,first,primero
335,fish,pez
336,fit,ajuste
337,fix,fijar
338,floor,piso
339,fly,volar
340,focus,atención
341,follow,seguir
342,food,comida
343,foot,pie
344,for,para
345,force,fuerza
346,foreign,extranjero
347,forget,olvidar
348,form,formar
349,former,ex
350,forward,adelante
351,free,gratis
352,friend,amigo
353,from,desde
354,front,frente
355,full,completo
356,fun,divertido
357,function,función
358,fund,financiar
359,further,promover
360,future,futuro
361,gain,ganancia
362,game,juego
363,garden,jardín
364,general,general
365,generally,generalmente
366,generation,Generacion
367,get,obtener
368,girl,niña
369,give,dar
370,go,ir
371,goal,gol
372,good,bueno
373,government,gobierno
374,great,genial
375,green,verde
376,ground,suelo
377,group,grupo
378,grow,crecer
379,growth,crecimiento
380,guess,adivinar
381,guy,chico
382,hair,pelo
383,half,mitad
384,hand,mano
385,happen,ocurrir
386,happy,feliz
387,hard,difícil
388,have,tener
389,he,él
390,head,cabeza
391,health,salud
392,hear,oír
393,heart,corazón
394,help,ayuda
395,here,aquí
396,herself,Ella misma
397,high,alto
398,himself,él mismo
399,history,historia
400,hit,golpear
401,hold,sostener
402,holiday,vacaciones
403,home,casa
404,hope,esperanza
405,hospital,hospital
406,hot,caliente
407,hotel,hotel
408,hour,hora
409,house,casa
410,how,cómo
411,however,sin embargo
412,huge,enorme
413,human,humano
414,husband,marido
415,i,yo
416,idea,idea
417,identify,identificar
418,if,si
419,image,imagen
420,imagine,imagina
421,immediately,inmediatamente
422,important,importante
423,improve,mejorar
424,in,en
425,include,incluir
426,income,ingresos
427,increase,incrementar
428,indeed,en efecto
429,indicate,indicar
430,individual,individual
431,industry,industria
432,influence,influencia
433,information,información
434,inside,dentro
435,instance,ejemplo
436,instead,en lugar
437,interest,interesar
438,international,internacional
439,interview,entrevista
440,into,dentro
441,introduce,introducir
442,investment,inversión
443,involve,implicar
444,issue,problema
445,it,eso
446,item,artículo
447,itself,sí mismo
448,job,trabajo
449,join,unirse
450,judge,juez
451,just,sólo
452,keep,mantener
453,key,llave
454,kid,niño
455,kill,matar
456,kind,tipo
457,know,saber
458,knowledge,conocimiento
459,lack,ausencia
460,land,tierra
461,language,idioma
462,large,grande
463,last,último
464,late,tarde
465,laugh,risa
466,law,ley
467,lead,dirigir
468,leader,líder
469,learn,aprender
470,least,menos
471,leave,salir
472,legal,legal
473,less,menos
474,let,dejar
475,letter,carta
476,level,nivel
477,lie,mentira
478,life,vida
479,light,ligero
480,like,me gusta
481,likely,probable
482,limit,límite
483,line,línea
484,link,enlazar
485,list,lista
486,listen,escucha
487,little,pequeño
488,live,vivir
489,local,local
490,long,largo
491,look,mira
492,lose,perder
493,loss,pérdida
494,lot,mucho
495,love,amor
496,low,bajo
497,machine,máquina
498,magazine,revista
499,main,principal
500,maintain,mantener
501,major,mayor
502,make,hacer
503,male,masculino
504,man,hombre
505,manage,gestionar
506,management,administración
507,manager,gerente
508,many,muchos
509,mark,marca
510,market,mercado
511,marry,casar
512,match,partido
513,material,material
514,matter,importar
515,may,mayo
516,maybe,tal vez
517,mean,media
518,measure,medida
519,medium,medio
520,meet,reunirse
521,member,miembro
522,memory,memoria
523,mention,mencionar
524,message,mensaje
525,method,método
526,middle,medio
527,might,podría
528,mile,milla
529,military,militar
530,mind,mente
531,mine,mía
532,minute,minuto
533,miss,perder
534,model,modelo
535,modern,moderno
536,moment,momento
537,money,dinero
538,month,mes
539,more,más
540,morning,mañana
541,most,más
542,mother,madre
543,move,movimiento
544,movement,movimiento
545,movie,película
546,much,mucho
547,music,música
548,must,debe
549,myself,mí mismo
550,name,nombre
551,nation,nación
552,national,nacional
553,natural,natural
554,nature,naturaleza
555,near,cerca
556,nearly,casi
557,necessary,necesario
558,need,necesitar
559,network,red
560,never,nunca
561,new,nuevo
562,news,noticias
563,newspaper,periódico
564,next,siguiente
565,nice,agradable
566,night,noche
567,no,no
568,nor,ni
569,normal,normal
570,not,no
571,note,nota
572,nothing,nada
573,notice,darse cuenta
574,now,ahora
575,number,número
576,object,objeto
577,obviously,obviamente
578,occur,ocurrir
579,of,de
580,off,apagado
581,offer,oferta
582,office,oficina
583,officer,oficial
584,official,oficial
585,often,a menudo
586,oil,petróleo
587,okay,bueno
588,old,antiguo
589,on,en
590,once,una vez
591,one,uno
592,only,solamente
593,open,abierto
594,operate,funcionar
595,operation,operación
596,opinion,opinión
597,opportunity,oportunidad
598,option,opción
599,or,o
600,order,orden
601,organization,organización
602,organize,organizar
603,original,original
604,other,otro
605,out,afuera
606,outside,exterio
607,over,terminado
608,own,propio
609,page,página
610,paint,pintar
611,paper,papel
612,parent,padre
613,park,parque
614,part,parte
615,particular,especial
616,particularly,particularmente
617,party,partido
618,pass,pasar
619,past,pasado
620,patient,paciente
621,pattern,modelo
622,pause,pausa
623,pay,paga
624,people,gente
625,per,por
626,percent,por ciento
627,perform,realizar
628,performance,actuación
629,perhaps,quizás
630,period,período
631,person,persona
632,personal,personal
633,phone,teléfono
634,pick,recoger
635,picture,imagen
636,piece,trozo
637,place,lugar
638,plan,plan
639,plant,planta
640,play,jugar
641,player,jugador
642,please,por favor
643,point,punto
644,police,policía
645,policy,política
646,political,político
647,poor,pobre
648,popular,popular
649,population,población
650,position,posición
651,positive,positivo
652,possibility,posibilidad
653,possible,posible
654,post,enviar
655,potential,potencial
656,pound,libra
657,power,poder
658,practice,práctica
659,prefer,preferir
660,prepare,preparar
661,present,presente
662,president,presidente
663,press,prensa
664,pressure,presión
665,pretty,bonita
666,previous,anterior
667,price,precio
668,private,privado
669,probably,probablemente
670,problem,problema
671,process,proceso
672,produce,Produce
673,product,producto
674,production,producción
675,professional,profesional
676,profit,lucro
677,program,programa
678,project,proyecto
679,promise,promesa
680,property,propiedad
681,proposal,propuesta
682,propose,proponer
683,protect,proteger
684,prove,probar
685,provide,proporcionar
686,public,público
687,pull,halar
688,purchase,comprar
689,purpose,propósito
690,push,empujar
691,put,poner
692,quality,calidad
693,quarter,trimestre
694,question,pregunta
695,quickly,con rapidez
696,quite,bastante
697,race,carrera
698,raise,aumento
699,range,distancia
700,rate,tarifa
701,rather,más bien
702,reach,alcanzar
703,read,leer
704,ready,listo
705,real,real
706,realize,darse cuenta de
707,really,De Verdad
708,reason,razón
709,receive,recibir
710,recent,reciente
711,recently,recientemente
712,recognize,reconocer
713,record,grabar
714,red,rojo
715,reduce,reducir
716,refer,referir
717,reference,referencia
718,reflect,reflejar
719,regard,considerar
720,region,región
721,relate,relacionar
722,relation,relación
723,relationship,relación
724,release,lanzamiento
725,remain,permanecer
726,remember,recuerda
727,replace,Reemplazar
728,report,informe
729,represent,representar
730,require,exigir
731,research,investigación
732,resource,recurso
733,respect,el respeto
734,response,respuesta
735,responsibility,responsabilidad
736,rest,descanso
737,restaurant,restaurante
738,result,resultado
739,return,regreso
740,review,revisión
741,right,Correcto
742,ring,anillo
743,rise,subir
744,risk,riesgo
745,road,la carretera
746,rock,rock
747,role,papel
748,room,habitación
749,round,redondo
750,rule,regla
751,run,correr
752,sale,venta
753,same,mismo
754,save,salvar
755,say,decir
756,school,colegio
757,science,ciencia
758,score,Puntuación
759,screen,pantalla
760,sea,mar
761,search,buscar
762,season,temporada
763,seat,asiento
764,second,segundo
765,section,sección
766,security,seguridad
767,see,ver
768,seek,buscar
769,seem,parecer
770,sell,vender
771,send,enviar
772,sense,sentido
773,separate,separar
774,series,serie
775,serious,grave
776,serve,servir
777,service,servicio
778,set,conjunto
779,several,varios
780,shall,deberá
781,shape,forma
782,share,compartir
783,she,ella
784,shop,tienda
785,short,corto
786,should,debería
787,show,espectáculo
788,side,lado
789,sign,firmar
790,significant,significativo
791,similar,similar
792,simple,sencillo
793,simply,simplemente
794,since,ya que
795,sing,canta
796,single,soltero
797,sister,hermana
798,sit,sentar
799,site,sitio
800,situation,situación
801,size,tamaño
802,skill,habilidad
803,sleep,dormir
804,small,pequeña
805,smile,sonreír
806,so,entonces
807,social,social
808,society,sociedad
809,solution,solución
810,some,algunos
811,somebody,alguien
812,someone,alguien
813,something,alguna cosa
814,sometimes,algunas veces
815,son,hijo
816,song,canción
817,soon,pronto
818,sorry,lo siento
819,sort,ordenar
820,sound,sonar
821,source,fuente
822,space,espacio
823,speak,hablar
824,special,especial
825,specific,específico
826,speech,habla
827,spend,gastar
828,sport,deporte
829,staff,personal
830,stage,escenario
831,stand,estar
832,standard,estándar
833,star,estrella
834,start,comienzo
835,state,estado
836,statement,declaración
837,station,estación
838,stay,permanecer
839,step,paso
840,still,todavía
841,stock,valores
842,stop,detener
843,store,almacenar
844,story,historia
845,strategy,estrategia
846,street,calle
847,strike,Huelga
848,strong,fuerte
849,structure,estructura
850,student,estudiante
851,study,estudiar
852,stuff,cosas
853,style,estilo
854,subject,tema
855,success,éxito
856,successful,exitoso
857,such,tal
858,suddenly,De repente
859,suffer,sufrir
860,suggest,sugerir
861,summer,verano
862,supply,suministro
863,support,apoyo
864,suppose,suponer
865,sure,Por supuesto
866,surprise,sorpresa
867,system,sistema
868,table,mesa
869,take,tomar
870,talk,hablar
871,target,objetivo
872,task,tarea
873,tax,impuesto
874,teach,enseñar
875,teacher,profesor
876,team,equipo
877,technology,tecnología
878,television,televisión
879,tell,contar
880,tend,tender
881,term,término
882,test,prueba
883,than,que
884,thank,gracias
885,that,"ese, eso"
886,the,"el, la, los, las"
887,themselves,sí mismos
888,then,entonces
889,theory,teoría
890,there,ahí
891,therefore,por lo tanto
892,they,ellos
893,thing,cosa
894,think,pensar
895,this,esta
896,though,aunque
897,through,mediante
898,throughout,en todo
899,throw,lanzar
900,thus,así
901,time,hora
902,to,a
903,today,hoy
904,together,juntos
905,tomorrow,mañana
906,too,también
907,top,parte superior
908,total,total
909,touch,toque
910,toward,hacia
911,town,pueblo
912,track,pista
913,trade,comercio
914,traditional,tradicional
915,train,entrenar
916,travel,viaje
917,treat,tratar
918,treatment,tratamiento
919,tree,árbol
920,trip,viaje
921,trouble,problema
922,TRUE,cierto
923,try,tratar
924,turn,giro
925,type,tipo
926,unclear,poco claro
927,under,debajo
928,understand,entender
929,unit,unidad
930,university,universidad
931,until,hasta
932,up,arriba
933,upon,sobre
934,use,utilizar
935,useful,útil
936,usually,generalmente
937,value,valor
938,variety,variedad
939,various,varios
940,version,versión
941,very,muy
942,view,ver
943,village,pueblo
944,visit,visitar
945,voice,voz
946,vote,votar
947,wait,Espere
948,walk,caminar
949,wall,pared
950,want,querer
951,war,guerra
952,watch,reloj
953,water,agua
954,way,camino
955,we,nosotros
956,wear,vestir
957,week,semana
958,weekend,fin de semana
959,weight,peso
960,welcome,bienvenido
961,well,bien
962,what,qué
963,whatever,lo que sea
964,when,cuando
965,where,dónde
966,whether,ya sea
967,which,cual
968,while,mientras
969,white,blanco
970,who,quien
971,whole,todo
972,why,por qué
973,wide,amplio
974,wife,esposa
975,will,será
976,win,ganar
977,window,ventana
978,wish,deseo
979,with,con
980,within,dentro
981,without,sin
982,woman,mujer
983,wonder,preguntarse
984,word,palabra
985,work,trabajo
986,worker,obrero
987,world,mundo
988,worry,preocupación
989,worth,valor
990,would,haría
991,write,escribir
992,wrong,incorrecto
993,yeah,sí
994,year,año
995,yes,sí
996,yesterday,ayer
997,yet,todavía
998,you,tú
999,young,joven
1000,yourself,tú mismo
